BOX,DATE,TIME,OBS_NO,WEIGHT,STATUS,Visit
GA29,2000/01/15,01:48:18,25,246.4817,s,575
GA29,2000/01/15,20:24:01,117,257.0771,s,576
GA29,2000/01/15,22:30:05,1650,262.8593,s,577
GA29,2000/01/15,22:36:09,352,257.9453,s,578
GA29,2000/01/15,22:40:56,685,285.3722,s,579
GA29,2000/01/15,22:43:24,153,284.5103,s,580
GA29,2000/01/15,23:42:13,323,276.8899,s,581
GA29,2000/01/16,00:31:05,16,256.3483,s,582
GA29,2000/01/16,00:37:12,197,257.9615,s,583
GA29,2000/01/16,00:40:55,202,260.5957,s,584
GA29,2000/01/16,00:43:20,32,256.8483,s,585
GA29,2000/01/16,00:53:31,2885,263.4861,s,586
GA29,2000/01/16,00:59:23,1051,258.9191,s,587
GA29,2000/01/16,01:23:23,316,289.6034,s,588
GA29,2000/01/16,01:24:23,12,225.48,s,589
GA29,2000/01/16,01:25:27,458,253.8235,s,590
GA29,2024/11/17,15:57:33,22,153.6167,s,591
GA29,2024/11/17,15:58:39,29,138.5264,s,592
GA29,2024/11/17,15:58:47,13,111.7388,s,593
GA29,2024/11/17,15:58:53,25,303.2584,s,594
GA29,2024/11/17,17:17:31,50,271.2036,s,595
