DATE,TIME,OBS_NO,WEIGHT,STATUS,Visit
2025/01/11,19:33:30,80,791525.0,s,1
2025/01/11,19:44:29,4,56.0,s,2
2025/01/11,19:44:36,27,186.0,s,3
2025/01/11,19:44:39,5,79.0,s,4
2025/01/11,19:44:40,1,37.0,s,5
2025/01/11,19:44:43,25,191.0,s,6
2025/01/11,19:44:57,1,54.0,s,7
2025/01/11,19:45:01,1,38.0,s,8
2025/01/11,19:45:03,1,41.0,s,9
2025/01/11,19:45:04,1,36.0,s,10
2025/01/11,19:45:04,1,60.0,s,11
2025/01/11,19:45:10,16,142.0,s,12
2025/01/11,19:45:17,16,146.0,s,13
2025/01/11,19:45:19,31,67.0,s,14
2025/01/11,19:45:24,7,133.0,s,15
2025/01/11,19:45:32,2,51.0,s,16
2025/01/11,19:45:34,1,38.0,s,17
2025/01/11,19:45:35,9,232.0,s,18
2025/01/11,19:45:39,36,48.0,s,19
2025/01/11,19:45:41,8,64.0,s,20
2025/01/11,19:45:44,4,59.0,s,21
2025/01/11,19:45:50,5,87.0,s,22
2025/01/11,19:45:54,1,36.0,s,23
2025/01/11,19:45:56,12,95.0,s,24
2025/01/11,19:45:57,4,52.0,s,25
2025/01/11,19:46:00,17,74.0,s,26
2025/01/11,19:46:01,1,45.0,s,27
2025/01/11,19:46:02,4,57.0,s,28
2025/01/11,19:46:09,1,36.0,s,29
2025/01/11,19:46:09,2,51.0,s,30
2025/01/11,19:46:13,1,39.0,s,31
2025/01/11,19:46:14,2,44.0,s,32
2025/01/11,19:46:16,2,50.0,s,33
2025/01/11,19:46:20,4,72.0,s,34
2025/01/11,19:46:23,5,85.0,s,35
2025/01/11,19:46:28,5,67.0,s,36
2025/01/11,19:46:33,1,41.0,s,37
2025/01/11,19:46:34,4,53.0,s,38
2025/01/11,19:46:39,1,37.0,s,39
2025/01/11,19:46:40,1,44.0,s,40
2025/01/11,19:46:49,18,119.0,s,41
2025/01/11,19:46:55,2,52.0,s,42
2025/01/11,19:46:56,1,43.0,s,43
2025/01/11,19:47:03,9,110.0,s,44
2025/01/11,19:47:13,30,115.0,s,45
2025/01/11,19:47:23,5,76.0,s,46
2025/01/11,19:47:29,9,126.0,s,47
2025/01/11,19:47:46,18,90.0,s,48
2025/01/11,19:48:13,8,56.0,s,49
2025/01/11,19:48:18,2,39.0,s,50
2025/01/11,19:48:25,5,72.0,s,51
2025/01/11,19:48:26,1,38.0,s,52
2025/01/11,19:48:26,1,41.0,s,53
2025/01/11,19:48:34,1,44.0,s,54
2025/01/11,19:48:38,16,116.0,s,55
2025/01/11,19:48:49,1,37.0,s,56
2025/01/11,19:48:50,3,44.0,s,57
2025/01/11,19:48:53,2,52.0,s,58
2025/01/11,19:48:56,1,46.0,s,59
2025/01/11,19:49:04,1,38.0,s,60
2025/01/11,19:49:12,1,48.0,s,61
2025/01/11,19:49:28,14,122.0,s,62
2025/01/11,19:50:09,1,37.0,s,63
2025/01/11,19:50:10,6,49.0,s,64
2025/01/11,19:50:53,1,36.0,s,65
2025/01/11,19:51:03,1,38.0,s,66
2025/01/11,19:51:03,1,59.0,s,67
2025/01/11,19:51:04,2,49.0,s,68
2025/01/11,19:52:30,7,129.0,s,69
2025/01/11,19:52:47,2,59.0,s,70
2025/01/11,19:52:49,3,60.0,s,71
2025/01/11,19:55:21,6,80.0,s,72
2025/01/11,19:58:56,2,41.0,s,73
2025/01/11,20:00:06,30,192.0,s,74
2025/01/11,20:00:18,4,65.0,s,75
2025/01/11,20:00:21,17,95.0,s,76
2025/01/11,20:00:25,2,62.0,s,77
2025/01/11,20:00:26,2,56.0,s,78
2025/01/11,20:00:27,1,37.0,s,79
2025/01/11,20:00:27,6,82.0,s,80
2025/01/11,20:00:33,9,75.0,s,81
2025/01/11,20:00:37,2,39.0,s,82
2025/01/11,20:00:44,4,94.0,s,83
2025/01/11,20:00:51,11,121.0,s,84
2025/01/11,20:00:56,1,38.0,s,85
2025/01/11,20:00:58,7,70.0,s,86
2025/01/11,20:00:59,8,70.0,s,87
2025/01/11,20:01:00,2,38.0,s,88
2025/01/11,20:01:01,2,52.0,s,89
2025/01/11,20:01:04,1,53.0,s,90
2025/01/11,20:01:05,2,63.0,s,91
2025/01/11,20:01:07,3,52.0,s,92
2025/01/11,20:01:09,1,43.0,s,93
2025/01/11,20:01:11,9,68.0,s,94
2025/01/11,20:01:14,16,164.0,s,95
2025/01/11,20:01:20,12,84.0,s,96
2025/01/11,20:01:23,19,115.0,s,97
2025/01/11,20:01:26,10,107.0,s,98
2025/01/11,20:01:28,2,54.0,s,99
2025/01/11,20:01:29,5,65.0,s,100
2025/01/11,20:01:30,6,90.0,s,101
2025/01/11,20:01:32,3,76.0,s,102
2025/01/11,20:01:33,1,38.0,s,103
2025/01/11,20:01:35,16,183.0,s,104
2025/01/11,20:01:52,2,59.0,s,105
2025/01/11,20:01:53,6,63.0,s,106
2025/01/11,20:01:55,7,99.0,s,107
2025/01/11,20:01:57,6,92.0,s,108
2025/01/11,20:02:12,109,175.0,s,109
