DATE,TIME,OBS_NO,WEIGHT,STATUS,Visit
2000/01/17,21:03:22,1,74.3445,s,112
2000/01/17,21:04:11,16,3113.0337,s,113
2000/01/17,21:04:17,23,5288.293,s,114
2000/01/17,21:04:23,24,5736.4512,s,115
2000/01/17,21:07:21,35,8554.249,s,116
2000/01/17,21:10:51,10,2348.7019,s,117
2000/01/17,21:11:12,1,45.2303,s,118
2000/01/17,21:11:20,23,2242.3428,s,119
2000/01/17,21:11:29,35,5035.1216,s,120
2000/01/17,21:11:42,3,1018.8195,s,121
2000/01/17,21:11:50,16,1985.6392,s,122
2000/01/17,21:11:56,17,5038.0244,s,123
2000/01/17,21:12:03,8,3580.2095,s,124
2000/01/17,21:14:49,48,7005.0815,s,125
2000/01/17,21:16:00,16,4215.7422,s,126
2000/01/17,21:16:04,3,953.1881,s,127
2000/01/17,21:17:20,1,1304.7905,s,128
2000/01/17,21:17:25,1,122.489,s,129
2000/01/17,21:17:37,4,2104.7419,s,130
2000/01/17,21:17:41,11,2358.5947,s,131
2000/01/17,21:18:08,29,4281.3804,s,132
2000/01/17,21:18:42,19,8963.3926,s,133
2000/01/17,21:18:56,17,7458.0161,s,134
2000/01/17,21:19:15,43,10507.8652,s,135
2000/01/17,21:19:32,10,1386.4943,s,136
2000/01/17,21:19:36,1,86.5927,s,137
2000/01/17,21:19:55,114,8679.4854,s,138
2000/01/17,21:20:02,10,2226.0359,s,139
2000/01/17,21:20:10,19,8597.1885,s,140
2000/01/17,21:22:25,16,9055.9092,s,141
2000/01/17,21:23:15,15,1586.4625,s,142
2000/01/17,21:24:19,5,1042.7344,s,143
2000/01/17,21:47:34,3,2915.7676,s,144
2000/01/17,21:49:51,9,1450.3363,s,145
2000/01/17,21:49:54,11,1051.963,s,146
2000/01/17,21:50:32,2,1144.2887,s,147
2000/01/17,21:50:38,15,1365.943,s,148
2000/01/17,21:55:53,1,354.3157,s,149
2000/01/17,21:56:15,42,4627.9805,s,150
2000/01/17,21:56:24,21,2248.2134,s,151
2000/01/17,21:56:32,29,2918.4558,s,152
2000/01/17,21:56:43,16,4334.0137,s,153
2000/01/17,21:56:58,15,3786.2549,s,154
2000/01/17,21:57:09,19,841.1539,s,155
2000/01/17,21:57:19,1,79.8963,s,156
2000/01/17,21:57:35,1,267.7849,s,157
2000/01/17,21:59:15,6,537.5682,s,158
2000/01/17,22:01:02,1,141.6682,s,159
2000/01/17,22:06:05,14,2802.239,s,160
2000/01/17,22:06:32,12,639.8135,s,161
2000/01/17,22:06:39,17,199.9949,s,162
2000/01/17,22:06:56,1,689.2318,s,163
2000/01/17,22:26:47,1,215.3203,s,164
2000/01/17,22:27:15,2,604.9481,s,165
2000/01/17,22:27:49,120,9182.4971,s,166
2000/01/17,22:28:20,21,8174.7036,s,167
2000/01/17,22:28:34,74,8156.9399,s,168
2000/01/17,22:28:54,58,10739.5371,s,169
2000/01/17,22:37:12,56,2780.0361,s,170
2000/01/17,22:37:28,26,9259.0078,s,171
2000/01/17,22:37:43,9,4331.5757,s,172
2000/01/17,22:38:02,1,88.382,s,173
2000/01/17,22:38:09,1,420.8206,s,174
2000/01/17,22:38:36,5,3430.3352,s,175
