DATE,TIME,OBS_NO,WEIGHT,STATUS,Visit
2000/01/01,22:01:46,825,233.9001,s,1
2000/01/01,22:09:56,1327,233.813,s,2
2000/01/01,22:18:37,43,232.0904,s,3
2000/01/01,22:19:26,181,233.8466,s,4
2000/01/01,22:20:38,15,233.5618,s,5
2000/01/01,22:21:35,85,233.7944,s,6
2000/01/01,22:23:44,773,233.9983,s,7
2000/01/01,22:29:20,15,232.869,s,8
2000/01/01,22:30:19,195,233.7496,s,9
2000/01/01,22:30:39,33,233.5332,s,10
2000/01/01,22:32:16,650,233.767,s,11
2000/01/01,22:48:04,58,233.4287,s,12
2000/01/01,22:48:18,13,201.2494,s,13
2000/01/01,22:48:46,101,233.3702,s,14
2000/01/01,22:49:06,25,233.415,s,15
2000/01/01,22:49:48,15,233.2583,s,16
2000/01/01,22:50:15,46,233.1339,s,17
2000/01/01,22:50:47,27,233.6302,s,18
2000/01/01,22:51:14,35,233.4399,s,19
2000/01/02,05:25:59,187696,235.6749,s,20
2000/01/02,20:39:18,50370,233.313,s,21
2000/01/02,20:49:35,1878,233.1488,s,22
2000/01/02,20:52:56,177,233.0332,s,23
2000/01/02,20:58:54,2517,233.1613,s,24
2000/01/02,21:01:10,118,258.0075,s,25
2000/01/02,21:10:13,16,257.1804,s,26
2000/01/02,21:11:16,16,257.8197,s,27
2000/01/02,21:11:51,76,258.0087,s,28
2000/01/02,21:12:21,55,257.9901,s,29
2000/01/02,21:12:42,38,258.0125,s,30
2000/01/02,21:14:32,754,258.306,s,31
2000/01/02,21:17:46,695,258.449,s,32
2000/01/02,21:18:36,150,258.5012,s,33
2000/01/02,21:21:02,25,257.9503,s,34
2000/01/02,21:22:14,18,257.7662,s,35
2000/01/02,21:22:42,60,257.9764,s,36
2000/01/02,21:23:09,56,258.5659,s,37
2000/01/02,21:24:21,26,258.2301,s,38
2000/01/02,21:25:12,296,264.8456,s,39
2000/01/02,21:27:31,339,258.0323,s,40
2000/01/02,21:30:03,102,257.9353,s,41
2000/01/02,21:30:53,57,257.2749,s,42
2000/01/02,21:31:26,28,257.9167,s,43
2000/01/02,21:52:34,9774,260.0422,s,44
2000/01/02,22:41:44,155,257.3806,s,45
2000/01/02,22:42:17,31,257.2749,s,46
2000/01/02,22:43:26,7,38.9427,s,47
2000/01/02,22:44:42,415,257.5547,s,48
2000/01/02,22:47:37,51,257.607,s,49
2000/01/02,22:50:22,460,257.5659,s,50
2000/01/02,22:56:15,18,256.8035,s,51
2000/01/02,22:57:04,160,261.5981,s,52
2000/01/02,23:03:45,2140,258.7699,s,53
2000/01/02,23:04:31,188,257.2687,s,54
2000/01/02,23:33:58,13817,258.5149,s,55
2000/01/02,23:36:42,1155,259.1418,s,56
2000/01/02,23:55:51,1202,259.1766,s,57
2000/01/03,00:13:54,678,258.0237,s,58
2000/01/03,00:34:28,19,256.7998,s,59
2000/01/03,00:35:13,45,256.8271,s,60
2000/01/03,00:36:29,311,257.0025,s,61
2000/01/03,00:40:02,830,258.0883,s,62
2000/01/03,00:44:41,31,257.0871,s,63
2000/01/03,00:45:35,27,256.7612,s,64
2000/01/03,00:47:12,397,257.1368,s,65
2000/01/03,00:48:35,33,256.964,s,66
2000/01/03,00:48:56,36,257.1767,s,67
2000/01/03,00:49:43,58,256.9291,s,68
