DATE,TIME,OBS_NO,WEIGHT,STATUS,Visit
2024/11/11,11:27:25,30,199.8529,s,1
2024/11/11,11:27:32,18,231.9074,s,2
2024/11/11,11:27:41,21,199.8679,s,3
2024/11/11,11:27:49,80,219.2114,s,4
2024/11/11,11:27:57,6,129.0879,s,5
2024/11/11,11:28:10,5,103.0733,s,6
2024/11/11,11:28:28,20,149147.0,s,7
2024/11/11,11:30:31,23,160001.0,s,8
2024/11/11,11:31:35,35,162886.0,s,9
2024/11/14,16:01:37,12,361.1957,s,10
2024/11/14,16:02:13,13,498.9745,s,11
2024/11/14,16:07:50,8,109.336,s,12
2024/11/14,16:08:03,8,120.7906,s,13
2024/11/14,16:09:09,302,260.5806,s,14
2024/11/14,16:10:00,27,329.8918,s,15
2024/11/14,16:10:21,48,218.7421,s,16
2024/11/14,16:10:33,13,397.8444,s,17
2024/11/14,16:10:52,51,389.1322,s,18
2024/11/14,16:11:11,13,251.9821,s,19
2024/11/14,16:14:11,13,266.6116,s,20
2024/11/14,16:24:02,12,160.8442,s,21
2024/11/14,16:24:45,22,153.9569,s,22
2024/11/14,16:24:49,6,112.6097,s,23
2024/11/14,16:26:55,5,125.868,s,24
2024/11/14,16:26:59,6,119.0444,s,25
2024/11/14,16:27:06,3,117.3558,s,26
2024/11/14,16:27:20,4,121.4619,s,27
2024/11/14,16:27:28,17,216.7372,s,28
2024/11/14,16:27:35,13,129.0541,s,29
2024/11/14,16:28:26,23,132.199,s,30
2024/11/14,16:28:43,25,256.252,s,31
2024/11/14,16:29:57,8,100.3489,s,32
2024/11/14,16:32:07,86,127.4591,s,33
2024/11/14,16:33:28,21,216.5022,s,34
2024/11/14,16:33:31,5,123.8393,s,35
2024/11/14,16:33:41,3,105.3087,s,36
2024/11/14,16:33:44,5,107.4436,s,37
2024/11/14,16:33:54,4,120.2494,s,38
2024/11/14,16:34:05,9,171.3263,s,39
2024/11/14,16:34:19,5,117.0083,s,40
2024/11/14,16:35:06,128,126.5067,s,41
2024/11/14,16:36:15,7,195.7529,s,42
2024/11/14,16:36:45,51,126.2042,s,43
2024/11/14,17:07:24,1,35.4875,s,44
2024/11/14,17:07:25,7,40.2448,s,45
2024/11/14,17:07:35,9,75.7248,s,46
2024/11/14,17:47:44,30,287.6846,s,47
2024/11/14,17:47:59,95,415.5512,s,48
2024/11/14,17:48:23,13,279.9224,s,49
2024/11/14,17:48:31,39,141.4711,s,50
2024/11/14,18:02:21,2,37.5749,s,51
2024/11/14,18:02:23,2,40.4885,s,52
2024/11/14,18:02:29,1,36.5074,s,53
